[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库 element_swpc_flare,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库 element_tec,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  数据库表event_configuration 导出数据, 19条
[root][2020-07-24 19:02:31][2020-07-24 19:02:31][     52049]:  事件等级配置表event_configuration,压缩并导出
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库 data_file_info,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库 product_file_info,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库 alert_file_info,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库 report_file_info,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库 element_ace_ep,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库 element_ace_mag,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库 element_ace_sis,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库 element_ace_sw,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库 element_ap,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库 element_dst,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库 element_f107,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库表element_goes_ie 导出数据, 6条
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  element_goes_ie,压缩并导出
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库表element_goes_ip 导出数据, 6条
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  element_goes_ip,压缩并导出
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库表element_goes_mag 导出数据, 33条
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  element_goes_mag,压缩并导出
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库表element_goes_xr 导出数据, 33条
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  element_goes_xr,压缩并导出
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库表element_hpi 导出数据, 4条
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  element_hpi,压缩并导出
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库表element_kp 导出数据, 2条
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  element_kp,压缩并导出
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库 element_rad,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 19:45:02][2020-07-24 19:45:02][     55066]:  数据库 element_ssn,产品不存在,时间段2020-07-24 2020-07-24
